,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Garajes,Tipo de terreno,Superficie edificable,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Superficie total,Superficie mínima en venta,Acceso,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado
84,,126,,,,,,zaragoza,Si,1,,,Central,1,,,,,,,,1978,,,,,,,,,,,Si,,"170,00 €",77,Si,,,,,,,,,,,3,1,,,190000,Si,Depende del precio
85,,135,,Si,,Individual,,zaragoza,Si,2,,,Individual,1,,,Tarima normal,,,,,1993,,,,,,,,,,,Si,,"70,00 €",125,Si,Si,,Si,,,,Mas de 25 Años,,Si,,4,2,,,200000,Si,Depende del precio
86,,138,4,Si,,Individual,118 KW h/m² año,zaragoza,Si,1,,,Individual,1,,,Parquet,,,,,2009,Si,1,,,,,,,,,Si,,"89,00 €",120,,,,Si,,,,Entre 10 y 15 Años,,,,3,2,Si,22 Kg CO2/m² año,208000,Si,Perfecto Estado
87,,213,,,,Central,,zaragoza,Si,2,,,Central,,,,,,,,,,,,,,,,,,,,,,"475,00 €",187,,,,,Sureste,,,Entre 35 y 50 Años,,,,10,3,,,210000,Si,A reformar
88,Si,217,,,,Individual,,zaragoza,Si,3,Si,,Individual,1,,,Parquet,Si,,,Si,,Si,,Ladrillo,Si,,,,,,,,,,100,Si,Si,,Si,Noreste,,,Entre 15 y 20 Años,,,,3,2,Si,,221000,Si,Perfecto Estado
89,Si,126,9,,,Central,,zaragoza,Si,2,,,Central,1,,,Parquet,Si,,,,1982,,4,Ladrillo,,,,,,,,Si,,"160,00 €",93,,Si,,Si,,,,Entre 35 y 50 Años,,,,4,2,Si,,329000,,Perfecto Estado
90,Si,214,,,,Individual,,zaragoza,Si,2,,,Individual,,,,Tarima normal,Si,,,,1950,,,Piedra,Si,,,,,,,Si,,"253,00 €",196,Si,Si,,,Este,,,Entre 35 y 50 Años,,,,5,5,Si,,349000,Si,Perfecto Estado
91,Si,211,,,,Central,,zaragoza,Si,2,,,Central,1,,,Tarima normal,Si,,,,1974,,2,Ladrillo,,,,,,,,Si,,"90,00 €",111,Si,,,Si,Noreste,,,Entre 35 y 50 Años,,Si,,4,2,,,420000,Si,A reformar
92,,205,,,,,,zaragoza,Si,1,,,,,,,,,,,,1962,,,,,,,,,,,,,,204,,,,,,,,Más de 50 años,Si,,,7,2,,,A consultar,,A reformar
93,Si,67,4,,,Individual,,zaragoza,Si,1,,,Individual,2,,,Tarima normal,,,,,2008,,,,,3,,,,,,Si,,"53,00 €",57,Si,,,Si,Oeste,,,Entre 10 y 15 Años,,,,2,1,,,A consultar,,Perfecto Estado
94,Si,89,9,,,Central,,zaragoza,Si,,Si,,Central,,,,Terrazo,Si,,,,1976,,,,,36,,,,,,Si,,"120,00 €",81,Si,,,Si,,,Si,Entre 35 y 50 Años,,,,3,2,,,A consultar,,A reformar
95,,71,,,,Gas natural,,zaragoza,Si,,,,Individual,,,,Baldosa,,,,,,,,,,,,,,,,Si,,"41,00 €",59,,,,,Sur,,,Más de 50 años,,,,3,1,,,A consultar,,A reformar
96,,71,4,,,Individual,,zaragoza,Si,3,,,Individual,,,,Baldosa,,,,,1964,,,,,3,,,,,,,,"20,00 €",65,,,,,Noreste,,,Más de 50 años,,,,3,1,,,A consultar,,A reformar
97,,67,,,,Individual,,zaragoza,,,,,Individual,,,,Baldosa,,,,,,,,,,,,,,,,Si,,"55,00 €",57,,,,,,,,Entre 35 y 50 Años,,,,2,1,,,A consultar,,Perfecto Estado
98,Si,70,,,,Individual,,zaragoza,,1,,,Central,,,,Baldosa,,,,,,,2,,,,,,,,,Si,,"100,00 €",65,Si,Si,,,Sureste,,,Más de 50 años,,,,2,1,,,A consultar,Si,Perfecto Estado
99,,86,4,,,Individual,,zaragoza,,,,,Individual,,,,Tarima Flotante,,,,,1954,,,Ladrillo,,8,,,,,,,,"35,00 €",80,,,,,Sur,,,Entre 35 y 50 Años,,,,3,1,,,A consultar,,Perfecto Estado
100,Si,95,4,,,,,zaragoza,Si,1,,,Aerotermia,,,,Tarima Flotante,,,,,1956,,,Ladrillo,,,,,,,,Si,,"68,00 €",89,Si,Si,,,Este,,,Menos de 5 Años,,,,3,2,,,239000,Si,Perfecto Estado
